"id","name","category","price","description"
441,"Peanut butter","Office Supply",17226,"Its main implementation is the Glasgow Haskell Compiler."
442,"Bellini","Music Instruments",10467,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
443,"Buffalo burger","Home & Garden",3391,"Tuples are containers for a fixed number of Erlang data types."
444,"Tomato compote","Music Instruments",18444,"Ports are created with the built-in function open_port."
445,"Pizza strips","Beauty & Personal",4215,"Any element of a tuple can be accessed in constant time."
446,"Sausage gravy","Fashion",3594,"She spent her earliest years reading classic literature, and writing poetry."
447,"Carolina style","Music Instruments",11085,"The arguments can be primitive data types or compound data types."
448,"Gumbo","Sports & Outdoor",5519,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
449,"Chicken nugget","Books",14082,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
450,"Swiss steak","Beauty & Personal",15663,"Type classes first appeared in the Haskell programming language."
451,"Reuben","Health & Hygine",3905,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
452,"Piroshky","Fashion",957,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
453,"Crab cake","Sports & Outdoor",10407,"He looked inquisitively at his keyboard and wrote another sentence."
454,"Steak Tartare","Health & Hygine",7637,"He looked inquisitively at his keyboard and wrote another sentence."
455,"Carne pizzaiola","Video Games",14774,"I don't even care."
456,"Matzo Ball Soup","Health & Hygine",14754,"She spent her earliest years reading classic literature, and writing poetry."
457,"Chicken Tikka Masala","Electronics",19366,"Tuples are containers for a fixed number of Erlang data types."
458,"Texas Toast","Beauty & Personal",13998,"Haskell features a type system with type inference and lazy evaluation."
459,"Liver and onions","Video Games",1340,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
460,"Chicken bog","Sports & Outdoor",10761,"Make me a sandwich."
461,"Pepperoni","Home & Garden",15207,"Where are my pants?"
462,"Pop-Tarts","Health & Hygine",12805,"Where are my pants?"
463,"Greek salad","Music Instruments",6539,"In 1989 the building was heavily damaged by fire, but it has since been restored."
464,"Banh Mi Viêt","Home & Garden",5051,"In 1989 the building was heavily damaged by fire, but it has since been restored."
465,"Frybread","Video Games",1116,"Atoms are used within a program to denote distinguished values."
466,"Tres Leches Cake","Office Supply",17393,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
467,"Chicago Deep Dish Pizza","Electronics",4854,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
468,"Veggie Pizza","Electronics",16555,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
469,"Polenta","Sports & Outdoor",3727,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
470,"Bao","Books",18085,"Erlang is known for its designs that are well suited for systems."
471,"Muffuletta","Sports & Outdoor",1520,"Its main implementation is the Glasgow Haskell Compiler."
472,"Russian dressing","Video Games",1507,"Haskell features a type system with type inference and lazy evaluation."
473,"Shish Kabob","Office Supply",17229,"Haskell features a type system with type inference and lazy evaluation."
474,"Maple Bacon Doughnut","Beauty & Personal",16105,"Its main implementation is the Glasgow Haskell Compiler."
475,"Muffuletta","Music Instruments",13364,"She spent her earliest years reading classic literature, and writing poetry."
476,"Cornish game hen","Video Games",7588,"It is also a garbage-collected runtime system."
477,"Carolina style","Sports & Outdoor",1326,"Type classes first appeared in the Haskell programming language."
478,"Domesticated turkey","Fashion",5376,"I don't even care."
479,"Samosa","Electronics",16393,"Do you come here often?"
480,"Osso Buco","Beauty & Personal",18936,"Haskell features a type system with type inference and lazy evaluation."
481,"Kobe Beef","Beauty & Personal",3779,"Erlang is a general-purpose, concurrent, functional programming language."
482,"Meatcake","Home & Garden",4548,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
483,"Tuna casserole","Electronics",16279,"Ports are created with the built-in function open_port."
484,"Scrapple","Books",9199,"Any element of a tuple can be accessed in constant time."
485,"Apple butter","Books",10388,"I don't even care."
486,"Huevos Rancheros","Fashion",9431,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
487,"Frito Pie","Video Games",14482,"Do you come here often?"
488,"Apple sauce","Home & Garden",6522,"Where are my pants?"
489,"Quesadilla","Beauty & Personal",8387,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
490,"Buffalo wing","Books",12798,"Ports are created with the built-in function open_port."
491,"American fried rice","Office Supply",5234,"Where are my pants?"
492,"Spaghetti Bolognese","Beauty & Personal",16419,"Do you have any idea why this is not working?"
493,"Flan","Sports & Outdoor",12531,"Where are my pants?"
494,"Kung Pao Chicken","Books",4592,"Erlang is a general-purpose, concurrent, functional programming language."
495,"Peanut butter","Video Games",16046,"Erlang is a general-purpose, concurrent, functional programming language."
496,"Chinese food","Books",12350,"Erlang is known for its designs that are well suited for systems."
497,"Fries","Home & Garden",6911,"Atoms are used within a program to denote distinguished values."
498,"Reuben","Home & Garden",8470,"Haskell features a type system with type inference and lazy evaluation."
499,"Pasta salad","Sports & Outdoor",16462,"Type classes first appeared in the Haskell programming language."
500,"Cornish game hen","Beauty & Personal",17431,"Ports are used to communicate with the external world."
501,"Piroshky","Music Instruments",16165,"Haskell features a type system with type inference and lazy evaluation."
502,"Beef Lo Mein","Home & Garden",671,"Erlang is a general-purpose, concurrent, functional programming language."
503,"French Dip","Sports & Outdoor",17442,"The arguments can be primitive data types or compound data types."
504,"Maple bacon donut","Books",17333,"It is also a garbage-collected runtime system."
505,"Huevos Rancheros","Music Instruments",6631,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
506,"Meatloaf","Music Instruments",6096,"The arguments can be primitive data types or compound data types."
507,"Apple butter","Video Games",17287,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
508,"Bookbinder Soup","Office Supply",10123,"It is also a garbage-collected runtime system."
509,"Corn chowder","Video Games",8768,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
510,"Steamed clams","Music Instruments",16239,"He looked inquisitively at his keyboard and wrote another sentence."
511,"Scampi","Music Instruments",18590,"Do you have any idea why this is not working?"
512,"Bellini","Books",8802,"Its main implementation is the Glasgow Haskell Compiler."
513,"Chips and dip","Beauty & Personal",7907,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
514,"Bagels and Lox","Music Instruments",11721,"Where are my pants?"
515,"Pickled cucumber","Beauty & Personal",7390,"Any element of a tuple can be accessed in constant time."
516,"Potato salad","Home & Garden",9466,"He looked inquisitively at his keyboard and wrote another sentence."
517,"Russian dressing","Video Games",9700,"In 1989 the building was heavily damaged by fire, but it has since been restored."
518,"Lorna Doone","Beauty & Personal",1455,"Haskell features a type system with type inference and lazy evaluation."
519,"Turducken","Music Instruments",7120,"She spent her earliest years reading classic literature, and writing poetry."
520,"Buffalo wing","Video Games",5373,"In 1989 the building was heavily damaged by fire, but it has since been restored."
521,"Surf and turf","Music Instruments",16451,"The arguments can be primitive data types or compound data types."
522,"Root Beer Float","Fashion",18844,"Ports are created with the built-in function open_port."
523,"London broil","Books",4720,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
524,"Bangers and mash","Video Games",17339,"Ports are used to communicate with the external world."
525,"Kobe Beef","Sports & Outdoor",2820,"Make me a sandwich."
526,"Chicken Alfredo","Fashion",3256,"She spent her earliest years reading classic literature, and writing poetry."
527,"Chicken Divan","Electronics",17174,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
528,"Calas","Music Instruments",16930,"He looked inquisitively at his keyboard and wrote another sentence."
529,"Lobster Newberg","Video Games",7771,"The arguments can be primitive data types or compound data types."
530,"Tamales","Office Supply",13611,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
531,"Bacon Cheeseburger","Electronics",2405,"Its main implementation is the Glasgow Haskell Compiler."
532,"Fortune cookie","Video Games",1652,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
533,"St. Paul Sandwich","Music Instruments",16076,"Atoms are used within a program to denote distinguished values."
534,"Cowboy beans","Beauty & Personal",6456,"I don't even care."
535,"Osso Buco","Video Games",19399,"Do you come here often?"
536,"Fajita","Fashion",16297,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
537,"Goulash","Video Games",6324,"Any element of a tuple can be accessed in constant time."
538,"Lorna Doone","Fashion",1488,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
539,"Dirty rice","Sports & Outdoor",15130,"Ports are used to communicate with the external world."
540,"Sausage gravy","Electronics",16623,"Erlang is known for its designs that are well suited for systems."
541,"Gyros","Home & Garden",14752,"Tuples are containers for a fixed number of Erlang data types."
542,"Blue cheese dressing","Beauty & Personal",10974,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
543,"Chicken and waffles","Video Games",18986,"Erlang is known for its designs that are well suited for systems."
544,"Ammonia cookie","Music Instruments",11170,"Its main implementation is the Glasgow Haskell Compiler."
545,"Alphabet pasta","Music Instruments",10751,"Erlang is known for its designs that are well suited for systems."
546,"Beef Manhattan","Home & Garden",9479,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
547,"Spaghetti and Meatballs","Health & Hygine",14574,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
548,"Shawarma","Books",13529,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
549,"Corn dog","Beauty & Personal",5664,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
550,"Shepherd's Pie","Health & Hygine",5125,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
551,"Mulligan stew","Health & Hygine",6946,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
552,"New York-Style Pizza","Beauty & Personal",16495,"Do you have any idea why this is not working?"
553,"Shawarma","Video Games",3284,"I don't even care."
554,"Maple Bacon Doughnut","Books",18428,"Haskell features a type system with type inference and lazy evaluation."
555,"Bangers and mash","Music Instruments",2123,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
556,"Home fries","Sports & Outdoor",6291,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
557,"Geoduck","Office Supply",14753,"It is also a garbage-collected runtime system."
558,"Naan","Fashion",6557,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
559,"Porterhouse Steak","Music Instruments",6537,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
560,"Hawaiian haystack","Electronics",6926,"I don't even care."
561,"Fries","Music Instruments",16748,"Do you have any idea why this is not working?"
562,"Fattoush Salad","Fashion",7834,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
563,"Tetrazzini","Sports & Outdoor",8136,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
564,"Jerky","Music Instruments",1182,"Ports are used to communicate with the external world."
565,"Pasta salad","Home & Garden",8529,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
566,"Porterhouse Steak","Books",3470,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
567,"Squab","Health & Hygine",5436,"Ports are used to communicate with the external world."
568,"Onion Rings","Health & Hygine",5767,"It is also a garbage-collected runtime system."
569,"Charleston red rice","Health & Hygine",16169,"Haskell features a type system with type inference and lazy evaluation."
570,"BBQ Chicken Pizza","Books",5162,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
571,"Blue-plate special","Fashion",6484,"Do you have any idea why this is not working?"
572,"Queso Fresco","Health & Hygine",9529,"Its main implementation is the Glasgow Haskell Compiler."
573,"Wasabi Peas","Fashion",6156,"Erlang is a general-purpose, concurrent, functional programming language."
574,"Kimchi","Health & Hygine",15802,"She spent her earliest years reading classic literature, and writing poetry."
575,"Maine Lobster","Home & Garden",5555,"Erlang is a general-purpose, concurrent, functional programming language."
576,"Chicken Manchurian","Office Supply",5827,"In 1989 the building was heavily damaged by fire, but it has since been restored."
577,"Chocolate cheesecake","Books",13094,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
578,"Flan","Books",19502,"He looked inquisitively at his keyboard and wrote another sentence."
579,"Lorna Doone","Music Instruments",18338,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
580,"Laksa","Fashion",14312,"Erlang is known for its designs that are well suited for systems."
581,"Pop-Tarts","Beauty & Personal",19867,"Make me a sandwich."
582,"Kobe Beef","Home & Garden",9110,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
583,"Mission burrito","Office Supply",5121,"Erlang is a general-purpose, concurrent, functional programming language."
584,"Eggs Benedict","Sports & Outdoor",7534,"Erlang is a general-purpose, concurrent, functional programming language."
585,"Tamales","Music Instruments",6567,"The arguments can be primitive data types or compound data types."
586,"Crab Rangoon","Music Instruments",17748,"Any element of a tuple can be accessed in constant time."
587,"Margherita Pizza","Home & Garden",2884,"Do you come here often?"
588,"Shish Kabob","Books",10110,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
589,"Pemmican","Sports & Outdoor",2779,"The arguments can be primitive data types or compound data types."
590,"Senate bean soup","Music Instruments",12156,"Make me a sandwich."
591,"Haggis","Beauty & Personal",9644,"Ports are created with the built-in function open_port."
592,"City chicken","Electronics",7457,"In 1989 the building was heavily damaged by fire, but it has since been restored."
593,"Sauteed Morel Mushrooms","Sports & Outdoor",5131,"Erlang is a general-purpose, concurrent, functional programming language."
594,"Creamed eggs on toast","Beauty & Personal",16658,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
595,"Cinnamon Roll","Music Instruments",15731,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
596,"Crepes","Beauty & Personal",4046,"Make me a sandwich."
597,"London broil","Health & Hygine",12389,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
598,"Chile Relleno","Beauty & Personal",18989,"Ports are created with the built-in function open_port."
599,"Jalapeno Poppers","Video Games",15169,"Ports are created with the built-in function open_port."
600,"Poppyseed muffin","Sports & Outdoor",2916,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
601,"Creamed eggs on toast","Sports & Outdoor",8539,"Ports are created with the built-in function open_port."
602,"Greek salad","Fashion",2195,"Atoms are used within a program to denote distinguished values."
603,"Waffle","Music Instruments",7899,"Erlang is known for its designs that are well suited for systems."
604,"Crepes","Fashion",18650,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
605,"Chicken French","Books",18480,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
606,"Cheese Curds","Home & Garden",13734,"It is also a garbage-collected runtime system."
607,"Soul food","Electronics",8624,"She spent her earliest years reading classic literature, and writing poetry."
608,"Buffalo burger","Video Games",16701,"Any element of a tuple can be accessed in constant time."
609,"Tuna Pizza","Home & Garden",19697,"It is also a garbage-collected runtime system."
610,"Banh Mi Viêt","Fashion",17967,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
611,"Chinese food","Electronics",8537,"Type classes first appeared in the Haskell programming language."
612,"Low Country Boil","Home & Garden",5133,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
613,"American fried rice","Sports & Outdoor",2789,"Make me a sandwich."
614,"Ammonia cookie","Electronics",4469,"Do you have any idea why this is not working?"
615,"Chicharones","Beauty & Personal",1868,"Where are my pants?"
616,"Frito Pie","Books",13859,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
617,"Chicken Manchurian","Books",19005,"Type classes first appeared in the Haskell programming language."
618,"Stuffed zucchini","Sports & Outdoor",8549,"The arguments can be primitive data types or compound data types."
619,"Fortune cookie","Electronics",9400,"Do you have any idea why this is not working?"
620,"Chicken nuggets","Fashion",12727,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
621,"Chicago Hot Dog","Office Supply",17191,"Where are my pants?"
622,"Bao","Electronics",2895,"Haskell features a type system with type inference and lazy evaluation."
623,"Piroshky","Health & Hygine",10110,"He looked inquisitively at his keyboard and wrote another sentence."
624,"Rolled oyster","Office Supply",16514,"Its main implementation is the Glasgow Haskell Compiler."
625,"Low Country Boil","Home & Garden",16138,"Do you come here often?"
626,"Pistachio Ice Cream","Sports & Outdoor",12021,"Erlang is known for its designs that are well suited for systems."
627,"Corn chowder","Office Supply",4351,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
628,"Haystack","Fashion",6547,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
629,"Squab","Beauty & Personal",13508,"Atoms are used within a program to denote distinguished values."
630,"Seafood cocktail","Fashion",12959,"Erlang is a general-purpose, concurrent, functional programming language."
631,"Fries","Office Supply",7201,"In 1989 the building was heavily damaged by fire, but it has since been restored."
632,"Meatcake","Office Supply",3713,"Ports are used to communicate with the external world."
633,"Sauteed Morel Mushrooms","Home & Garden",12256,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
634,"Abalone","Sports & Outdoor",18363,"Type classes first appeared in the Haskell programming language."
635,"Crepes","Music Instruments",11091,"It is also a garbage-collected runtime system."
636,"Hawaiian haystack","Video Games",14167,"Any element of a tuple can be accessed in constant time."
637,"Alice Springs Chicken","Beauty & Personal",7333,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
638,"Huevos Rancheros","Books",5152,"Make me a sandwich."
639,"Tomato compote","Sports & Outdoor",3960,"Erlang is known for its designs that are well suited for systems."
640,"St. Paul Sandwich","Video Games",11384,"I don't even care."
641,"Scampi","Fashion",17332,"Erlang is a general-purpose, concurrent, functional programming language."
642,"Tomato compote","Electronics",10080,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
643,"Geoduck","Health & Hygine",17843,"Where are my pants?"
644,"Cowboy beans","Fashion",16942,"He looked inquisitively at his keyboard and wrote another sentence."
645,"Fattoush Salad","Fashion",12072,"Ports are created with the built-in function open_port."
646,"Deep Fried Oreos","Electronics",1617,"She spent her earliest years reading classic literature, and writing poetry."
647,"Schnitzel","Music Instruments",8721,"Do you come here often?"
648,"Lasagna","Beauty & Personal",18537,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
649,"Cheese Curds","Video Games",13403,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
650,"Charleston red rice","Sports & Outdoor",18479,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
651,"Milk Steak","Beauty & Personal",15546,"Type classes first appeared in the Haskell programming language."
652,"Spring Rolls","Home & Garden",12703,"Erlang is known for its designs that are well suited for systems."
653,"Jerky","Fashion",13843,"Do you come here often?"
654,"Chili con carne","Video Games",11789,"She spent her earliest years reading classic literature, and writing poetry."
655,"Chicken sandwich","Books",15343,"Type classes first appeared in the Haskell programming language."
656,"Chili con carne","Sports & Outdoor",5008,"Haskell features a type system with type inference and lazy evaluation."
657,"Buffalo Wings","Office Supply",3669,"Type classes first appeared in the Haskell programming language."
658,"Charleston red rice","Music Instruments",6824,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
659,"Chocolate cheesecake","Electronics",15743,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
660,"Suckling Pig","Home & Garden",13834,"Any element of a tuple can be accessed in constant time."
661,"Salisbury steak","Office Supply",3651,"Make me a sandwich."
662,"Cheesecake","Books",7943,"Ports are created with the built-in function open_port."
663,"Hawaiian Pizza","Health & Hygine",12000,"Make me a sandwich."
664,"Chicken nugget","Fashion",5050,"Its main implementation is the Glasgow Haskell Compiler."
665,"Fish and Chips!","Home & Garden",15341,"Haskell features a type system with type inference and lazy evaluation."
666,"Steak sauce","Beauty & Personal",2838,"She spent her earliest years reading classic literature, and writing poetry."
667,"Liver and onions","Books",15922,"Do you come here often?"
668,"Turducken","Office Supply",5878,"Do you have any idea why this is not working?"
669,"Chicken Liver Pate","Home & Garden",9376,"I don't even care."
670,"Fajita","Beauty & Personal",5734,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
671,"Beignets","Office Supply",11483,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
672,"Milk toast","Fashion",10741,"The arguments can be primitive data types or compound data types."
673,"Pork Belly","Sports & Outdoor",6423,"Do you come here often?"
674,"BBQ Ribs","Video Games",15605,"Do you have any idea why this is not working?"
675,"Macaroni salad","Books",15247,"Make me a sandwich."
676,"Lorna Doone","Sports & Outdoor",13482,"Ports are created with the built-in function open_port."
677,"Buffalo wing","Fashion",8853,"Type classes first appeared in the Haskell programming language."
678,"Fortune cookie","Video Games",17930,"Type classes first appeared in the Haskell programming language."
679,"Shawarma","Home & Garden",1574,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
680,"Buffalo wing","Sports & Outdoor",4350,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
681,"Gumbo","Sports & Outdoor",11435,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
682,"Cinnamon Roll","Health & Hygine",15088,"Where are my pants?"
683,"Coq Au Vin","Music Instruments",12990,"Ports are created with the built-in function open_port."
684,"Stroganoff","Video Games",19283,"She spent her earliest years reading classic literature, and writing poetry."
685,"Grits","Sports & Outdoor",12916,"Ports are created with the built-in function open_port."
686,"Coleslaw","Fashion",9941,"Its main implementation is the Glasgow Haskell Compiler."
687,"Pancakes","Video Games",13243,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
688,"Fry sauce","Health & Hygine",17878,"She spent her earliest years reading classic literature, and writing poetry."
689,"Chicken nugget","Fashion",2191,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
690,"Hog fry","Books",9499,"Atoms are used within a program to denote distinguished values."
691,"Hokkien fried rice","Electronics",8626,"The arguments can be primitive data types or compound data types."
692,"Coq Au Vin","Office Supply",1860,"In 1989 the building was heavily damaged by fire, but it has since been restored."
693,"Shrimp Creole","Office Supply",10338,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
694,"Jambalaya","Electronics",17335,"Where are my pants?"
695,"Naan","Music Instruments",17204,"Erlang is a general-purpose, concurrent, functional programming language."
696,"Mashed pumpkin","Video Games",11496,"The arguments can be primitive data types or compound data types."
697,"Pigs in blankets","Video Games",4750,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
698,"Thousand Island dressing","Fashion",7644,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
699,"Fish Tacos","Sports & Outdoor",12182,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
700,"Hawaiian Pizza","Music Instruments",17910,"Ports are created with the built-in function open_port."
701,"Cheese dog","Office Supply",4451,"Any element of a tuple can be accessed in constant time."
702,"Ribs","Music Instruments",18746,"He looked inquisitively at his keyboard and wrote another sentence."
703,"Lorna Doone","Fashion",10209,"I don't even care."
704,"Boulliabaise","Beauty & Personal",13984,"I don't even care."
705,"BBQ Chicken Pizza","Music Instruments",17264,"In 1989 the building was heavily damaged by fire, but it has since been restored."
706,"Milkshake","Office Supply",13882,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
707,"Dirty rice","Music Instruments",14832,"Haskell features a type system with type inference and lazy evaluation."
708,"Osso Buco","Health & Hygine",5317,"It is also a garbage-collected runtime system."
709,"Falafel","Office Supply",2100,"Where are my pants?"
710,"Blue-plate special","Sports & Outdoor",17963,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
711,"Domesticated turkey","Sports & Outdoor",4663,"Make me a sandwich."
712,"Pemmican","Home & Garden",7086,"She spent her earliest years reading classic literature, and writing poetry."
713,"Domesticated turkey","Office Supply",6112,"Type classes first appeared in the Haskell programming language."
714,"Haystack","Beauty & Personal",6303,"Do you come here often?"
715,"Brunswick stew","Beauty & Personal",12504,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
716,"Chinese food","Beauty & Personal",15489,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
717,"Ratatouille","Sports & Outdoor",13809,"Ports are created with the built-in function open_port."
718,"Cheesy Garlic Bread","Video Games",1528,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
719,"Brunswick stew","Office Supply",8910,"Ports are created with the built-in function open_port."
720,"Kung Pao Chicken","Health & Hygine",8655,"Do you have any idea why this is not working?"
721,"Funnel Cake","Electronics",9310,"In 1989 the building was heavily damaged by fire, but it has since been restored."
722,"Bao","Video Games",8200,"She spent her earliest years reading classic literature, and writing poetry."
723,"Calas","Sports & Outdoor",19649,"She spent her earliest years reading classic literature, and writing poetry."
724,"Milkshake","Health & Hygine",5590,"Erlang is known for its designs that are well suited for systems."
725,"Chicken herby pasta bake","Music Instruments",17515,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
726,"Squab","Home & Garden",2553,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
727,"Porterhouse Steak","Health & Hygine",4144,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
728,"Macaroni and cheese","Office Supply",9455,"He looked inquisitively at his keyboard and wrote another sentence."
729,"Buffalo Wings","Music Instruments",5620,"I don't even care."
730,"Bellini","Sports & Outdoor",11700,"It is also a garbage-collected runtime system."
731,"Chicken and waffles","Video Games",11895,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
732,"Gumbo","Books",11886,"Make me a sandwich."
733,"Dirty rice","Health & Hygine",12491,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
734,"Deviled crab","Beauty & Personal",8142,"The arguments can be primitive data types or compound data types."
735,"Cheesecake","Electronics",8120,"The arguments can be primitive data types or compound data types."
736,"Macaroni and Cheese","Sports & Outdoor",10330,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
737,"Lasagna","Books",6152,"He looked inquisitively at his keyboard and wrote another sentence."
738,"Cinnamon Roll","Beauty & Personal",18475,"Its main implementation is the Glasgow Haskell Compiler."
739,"BBQ Chicken Pizza","Sports & Outdoor",13349,"Do you come here often?"
740,"Pork and beans","Office Supply",18111,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
741,"Celery Victor","Music Instruments",4986,"The arguments can be primitive data types or compound data types."
742,"Alphabet pasta","Beauty & Personal",4229,"Where are my pants?"
743,"Deep Fried Oreos","Home & Garden",13406,"Ports are created with the built-in function open_port."
744,"Chicken fried steak","Video Games",11110,"Ports are created with the built-in function open_port."
745,"Bi Bim Bap","Fashion",17511,"In 1989 the building was heavily damaged by fire, but it has since been restored."
746,"Baked potato","Books",9484,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
747,"Cheese stuffed crust pizza","Health & Hygine",8720,"Atoms are used within a program to denote distinguished values."
748,"Mashed pumpkin","Health & Hygine",7425,"Erlang is known for its designs that are well suited for systems."
749,"Burnt ends","Video Games",6501,"Ports are created with the built-in function open_port."
750,"Jambalaya","Video Games",7910,"He looked inquisitively at his keyboard and wrote another sentence."
751,"Funnel Cake","Music Instruments",15970,"Where are my pants?"
752,"Scrapple","Music Instruments",7239,"Tuples are containers for a fixed number of Erlang data types."
753,"Flan","Home & Garden",5601,"Any element of a tuple can be accessed in constant time."
