"id","name","category","price","description"
486,"Garden salad","Health & Hygine",6412,"Erlang is a general-purpose, concurrent, functional programming language."
487,"Crab Rangoon","Video Games",13054,"In 1989 the building was heavily damaged by fire, but it has since been restored."
488,"Barbecue","Health & Hygine",7630,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
489,"Squab","Books",18369,"Tuples are containers for a fixed number of Erlang data types."
490,"Philly Cheese Steak","Music Instruments",17445,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
491,"Burnt ends","Fashion",5850,"She spent her earliest years reading classic literature, and writing poetry."
492,"Macaroni and cheese","Sports & Outdoor",10525,"Do you have any idea why this is not working?"
493,"Sichuan Hot Pot","Beauty & Personal",14632,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
494,"Chocolate Chip Cookie","Fashion",11424,"Erlang is a general-purpose, concurrent, functional programming language."
495,"Turkish Delight","Beauty & Personal",9304,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
496,"Maple Bacon Doughnut","Electronics",9599,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
497,"Calf's liver and bacon","Books",5723,"Do you come here often?"
498,"Sandwich","Beauty & Personal",1742,"Haskell features a type system with type inference and lazy evaluation."
499,"Beignets","Electronics",1761,"Tuples are containers for a fixed number of Erlang data types."
500,"Patty","Video Games",7898,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
501,"Funnel Cake","Beauty & Personal",11887,"He looked inquisitively at his keyboard and wrote another sentence."
502,"Drunken chicken","Music Instruments",7755,"Its main implementation is the Glasgow Haskell Compiler."
503,"Doughnut","Fashion",5979,"Its main implementation is the Glasgow Haskell Compiler."
504,"Bangers and mash","Books",14227,"Make me a sandwich."
505,"Gyoza","Health & Hygine",12114,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
506,"Buffalo Wings","Fashion",8294,"Type classes first appeared in the Haskell programming language."
507,"Italian Beef Sandwich","Home & Garden",17915,"Do you have any idea why this is not working?"
508,"Bao","Electronics",11388,"Do you have any idea why this is not working?"
509,"Deviled crab","Electronics",7893,"It is also a garbage-collected runtime system."
510,"Pistachio Ice Cream","Sports & Outdoor",4500,"He looked inquisitively at his keyboard and wrote another sentence."
511,"Pasta salad","Music Instruments",2676,"Where are my pants?"
512,"Onion ring","Fashion",683,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
513,"Potatoes O'Brien","Sports & Outdoor",16526,"Type classes first appeared in the Haskell programming language."
514,"Creamed corn","Fashion",8302,"Erlang is a general-purpose, concurrent, functional programming language."
515,"Clam chowder","Home & Garden",11331,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
516,"Garlic bread","Electronics",9251,"Do you come here often?"
517,"Chicken bog","Music Instruments",18097,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
518,"Philadelphia cheesesteak","Fashion",18492,"Make me a sandwich."
519,"Surf and turf","Video Games",2403,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
520,"Alphabet pasta","Electronics",2282,"Erlang is known for its designs that are well suited for systems."
521,"French Onion Soup","Music Instruments",15771,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
522,"Bacon Cheeseburger","Home & Garden",14543,"The arguments can be primitive data types or compound data types."
523,"Breaded shrimp","Office Supply",4615,"Haskell features a type system with type inference and lazy evaluation."
524,"Rabbit pie","Health & Hygine",17573,"Do you have any idea why this is not working?"
525,"Rolled oyster","Home & Garden",9602,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
526,"Chocolate Chip Cookie","Sports & Outdoor",18768,"Do you have any idea why this is not working?"
527,"Huevos Rancheros","Sports & Outdoor",12288,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
528,"Flan","Sports & Outdoor",19405,"Its main implementation is the Glasgow Haskell Compiler."
529,"Bacon Cheeseburger","Books",9201,"Atoms are used within a program to denote distinguished values."
530,"BBQ Chicken Pizza","Home & Garden",18817,"Type classes first appeared in the Haskell programming language."
531,"Stuffed zucchini","Books",7946,"Do you have any idea why this is not working?"
532,"Queso Fresco","Electronics",3076,"In 1989 the building was heavily damaged by fire, but it has since been restored."
533,"Blue-plate special","Electronics",856,"Type classes first appeared in the Haskell programming language."
534,"Funnel Cake","Health & Hygine",7073,"She spent her earliest years reading classic literature, and writing poetry."
535,"Chicken Manchurian","Sports & Outdoor",15301,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
536,"Sandwich","Video Games",6480,"Erlang is known for its designs that are well suited for systems."
537,"Hangtown fry","Books",16290,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
538,"Bear claw","Health & Hygine",14126,"Ports are created with the built-in function open_port."
539,"Chicken fried bacon","Home & Garden",8389,"Atoms are used within a program to denote distinguished values."
540,"Vichyssoise","Video Games",11440,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
541,"Stuffed ham","Books",2006,"Do you come here often?"
542,"Seafood cocktail","Office Supply",18042,"I don't even care."
543,"Chicken herby pasta bake","Electronics",15291,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
544,"Domesticated turkey","Home & Garden",9773,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
545,"French Dip","Sports & Outdoor",11601,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
546,"Empanada","Books",15149,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
547,"Kung Pao Chicken","Video Games",11107,"He looked inquisitively at his keyboard and wrote another sentence."
548,"Brisket","Video Games",15893,"The arguments can be primitive data types or compound data types."
549,"Fried fish","Health & Hygine",9778,"Erlang is known for its designs that are well suited for systems."
550,"Clam cake","Fashion",8980,"Ports are created with the built-in function open_port."
551,"Maraca pie","Office Supply",7599,"Where are my pants?"
552,"Corn flakes","Music Instruments",10200,"Type classes first appeared in the Haskell programming language."
553,"Montreal Smoked Meat","Electronics",11331,"Erlang is a general-purpose, concurrent, functional programming language."
554,"Polenta","Electronics",2469,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
555,"Creamed eggs on toast","Home & Garden",16372,"Where are my pants?"
556,"Fried Catfish","Sports & Outdoor",11509,"It is also a garbage-collected runtime system."
557,"Chili dog","Office Supply",3707,"Its main implementation is the Glasgow Haskell Compiler."
558,"Stuffed peppers","Fashion",6319,"Atoms are used within a program to denote distinguished values."
559,"Sweet Potato Fries","Sports & Outdoor",7466,"Do you come here often?"
560,"Rolled oyster","Office Supply",6186,"In 1989 the building was heavily damaged by fire, but it has since been restored."
561,"Spanish rice","Fashion",15327,"Haskell features a type system with type inference and lazy evaluation."
562,"Souvlaki","Health & Hygine",4734,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
563,"Italian Beef Sandwich","Beauty & Personal",4519,"Type classes first appeared in the Haskell programming language."
564,"Bellini","Video Games",15139,"It is also a garbage-collected runtime system."
565,"Pulled pork","Music Instruments",5884,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
566,"Chicken French","Video Games",1231,"Atoms are used within a program to denote distinguished values."
567,"Apple sauce","Fashion",18599,"Erlang is a general-purpose, concurrent, functional programming language."
568,"Choco pie","Fashion",14090,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
569,"Laksa","Video Games",8030,"Haskell features a type system with type inference and lazy evaluation."
570,"Spaghetti Bolognese","Fashion",8488,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
571,"Texas Toast","Fashion",4386,"In 1989 the building was heavily damaged by fire, but it has since been restored."
572,"Spaghetti and Meatballs","Sports & Outdoor",12493,"In 1989 the building was heavily damaged by fire, but it has since been restored."
573,"Steak sandwich","Health & Hygine",5720,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
574,"Doughnut","Music Instruments",14662,"Erlang is known for its designs that are well suited for systems."
575,"Crab Rangoon","Fashion",15183,"The arguments can be primitive data types or compound data types."
576,"Blue-plate special","Electronics",1249,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
577,"Samosa","Books",15386,"She spent her earliest years reading classic literature, and writing poetry."
578,"Doughnut","Home & Garden",5308,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
579,"Succotash","Sports & Outdoor",2135,"Haskell features a type system with type inference and lazy evaluation."
580,"Turkish Delight","Home & Garden",9521,"Do you come here often?"
581,"Crab Rangoon","Fashion",11325,"Erlang is known for its designs that are well suited for systems."
582,"Huevos Rancheros","Fashion",16736,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
583,"Onion ring","Fashion",15501,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
584,"Lobster Newberg","Fashion",12693,"She spent her earliest years reading classic literature, and writing poetry."
585,"Sloppy joe","Home & Garden",19138,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
586,"Beignets","Health & Hygine",1930,"He looked inquisitively at his keyboard and wrote another sentence."
587,"Mashed pumpkin","Home & Garden",9027,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
588,"Blue-plate special","Office Supply",18466,"Erlang is known for its designs that are well suited for systems."
589,"Steak sandwich","Beauty & Personal",16090,"Atoms are used within a program to denote distinguished values."
590,"Meatloaf","Home & Garden",12925,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
591,"Chicken nuggets","Beauty & Personal",9309,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
592,"Salisbury steak","Electronics",14030,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
593,"Po'Boy","Health & Hygine",11732,"The arguments can be primitive data types or compound data types."
594,"Macaroni and Cheese","Health & Hygine",12977,"Erlang is a general-purpose, concurrent, functional programming language."
595,"St. Paul Sandwich","Health & Hygine",2711,"Erlang is a general-purpose, concurrent, functional programming language."
596,"Apple butter","Beauty & Personal",1563,"I don't even care."
597,"Clam chowder","Home & Garden",10759,"Atoms are used within a program to denote distinguished values."
598,"Macaroni and cheese","Video Games",10363,"Erlang is known for its designs that are well suited for systems."
599,"Steak sandwich","Health & Hygine",7104,"Make me a sandwich."
600,"Shrimp and Grits","Beauty & Personal",1228,"Its main implementation is the Glasgow Haskell Compiler."
601,"Macaroni salad","Video Games",14515,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
602,"Fried Catfish","Beauty & Personal",5100,"Do you have any idea why this is not working?"
603,"Macaroni salad","Health & Hygine",19275,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
604,"Spring Rolls","Books",17872,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
605,"Ploye","Home & Garden",17683,"Its main implementation is the Glasgow Haskell Compiler."
606,"Maine Lobster","Fashion",17925,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
607,"Stuffed peppers","Video Games",10520,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
608,"Muffuletta","Sports & Outdoor",3242,"Haskell features a type system with type inference and lazy evaluation."
609,"Prawn Pizza","Video Games",564,"Erlang is known for its designs that are well suited for systems."
610,"Dirty rice","Office Supply",4375,"Its main implementation is the Glasgow Haskell Compiler."
611,"Chicken Biryani","Video Games",16552,"The arguments can be primitive data types or compound data types."
612,"Steak sauce","Health & Hygine",5645,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
613,"City chicken","Fashion",6206,"Its main implementation is the Glasgow Haskell Compiler."
614,"White chocolate cookie","Health & Hygine",4545,"Atoms are used within a program to denote distinguished values."
615,"Macaroni and cheese","Electronics",1983,"Do you come here often?"
616,"Mini pizzas","Home & Garden",6037,"Ports are used to communicate with the external world."
617,"Ice Cream","Music Instruments",4634,"Haskell features a type system with type inference and lazy evaluation."
618,"Drunken chicken","Music Instruments",15001,"Ports are created with the built-in function open_port."
619,"Steamed clams","Fashion",4021,"Ports are used to communicate with the external world."
620,"Domesticated turkey","Books",1946,"Make me a sandwich."
621,"Spaghetti and Meatballs","Electronics",12576,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
622,"Chicken Liver Pate","Health & Hygine",14512,"He looked inquisitively at his keyboard and wrote another sentence."
623,"Doughnut","Beauty & Personal",1848,"He looked inquisitively at his keyboard and wrote another sentence."
624,"Ammonia cookie","Office Supply",7196,"Any element of a tuple can be accessed in constant time."
625,"Chowder","Office Supply",8494,"Haskell features a type system with type inference and lazy evaluation."
626,"Currywurst","Health & Hygine",6578,"Do you have any idea why this is not working?"
627,"Corn relish","Books",10531,"Ports are used to communicate with the external world."
628,"Mashed potato","Music Instruments",5439,"She spent her earliest years reading classic literature, and writing poetry."
629,"Po'Boy","Electronics",3236,"Any element of a tuple can be accessed in constant time."
630,"Steamed clams","Fashion",5140,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
631,"Soft Shell Crab","Office Supply",17184,"Ports are used to communicate with the external world."
632,"Cheesecake","Home & Garden",19759,"He looked inquisitively at his keyboard and wrote another sentence."
633,"Pepperoni Pizza","Sports & Outdoor",6630,"Atoms are used within a program to denote distinguished values."
634,"Sausage gravy","Music Instruments",13092,"Atoms are used within a program to denote distinguished values."
635,"Ceviche","Home & Garden",6620,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
636,"Spanish rice","Music Instruments",5561,"Tuples are containers for a fixed number of Erlang data types."
637,"Fried chicken","Sports & Outdoor",6232,"Make me a sandwich."
638,"Ribs","Video Games",10262,"In 1989 the building was heavily damaged by fire, but it has since been restored."
639,"Beef Manhattan","Electronics",9785,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
640,"Sweetbreads","Home & Garden",3681,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
641,"Pumpkin pie","Electronics",3370,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
642,"Souvlaki","Home & Garden",5192,"Where are my pants?"
643,"Sichuan Hot Pot","Sports & Outdoor",3094,"I don't even care."
644,"Hog fry","Sports & Outdoor",18449,"Erlang is a general-purpose, concurrent, functional programming language."
645,"Creamed corn","Video Games",673,"Haskell features a type system with type inference and lazy evaluation."
646,"Blue cheese dressing","Video Games",677,"Do you come here often?"
647,"Succotash","Fashion",18478,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
648,"Hokkien fried rice","Music Instruments",18013,"Tuples are containers for a fixed number of Erlang data types."
649,"Ice Cream","Home & Garden",15442,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
650,"Salted caramel cookie","Sports & Outdoor",6324,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
651,"Chicken fingers","Electronics",15957,"Do you come here often?"
652,"Muffuletta","Music Instruments",13039,"In 1989 the building was heavily damaged by fire, but it has since been restored."
653,"Breakfast burrito","Office Supply",4696,"Its main implementation is the Glasgow Haskell Compiler."
654,"Pepperoni","Music Instruments",11858,"Ports are used to communicate with the external world."
655,"Naan","Health & Hygine",8429,"Ports are used to communicate with the external world."
656,"Chili con carne","Fashion",10190,"Erlang is a general-purpose, concurrent, functional programming language."
657,"Muffuletta","Home & Garden",14905,"Its main implementation is the Glasgow Haskell Compiler."
658,"Fried chicken","Home & Garden",16534,"I don't even care."
659,"Macaroni salad","Health & Hygine",6095,"Any element of a tuple can be accessed in constant time."
660,"Beef Manhattan","Health & Hygine",8801,"I don't even care."
661,"Biscuit","Health & Hygine",5123,"Where are my pants?"
662,"Philadelphia cheesesteak","Music Instruments",17739,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
663,"Key Lime Pie","Video Games",7939,"He looked inquisitively at his keyboard and wrote another sentence."
664,"Jambalaya","Video Games",13519,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
665,"Mini pizzas","Electronics",8383,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
666,"Parma Ham","Video Games",684,"She spent her earliest years reading classic literature, and writing poetry."
667,"Pepperoni Pizza","Health & Hygine",1680,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
668,"Chocolate cheesecake","Books",6164,"The arguments can be primitive data types or compound data types."
669,"Phaal","Sports & Outdoor",4986,"Tuples are containers for a fixed number of Erlang data types."
670,"Poppyseed muffin","Sports & Outdoor",17861,"Erlang is known for its designs that are well suited for systems."
671,"Osso Buco","Video Games",19070,"Make me a sandwich."
672,"Escargot","Music Instruments",9750,"She spent her earliest years reading classic literature, and writing poetry."
673,"Chicken Alfredo","Electronics",15909,"The arguments can be primitive data types or compound data types."
674,"Naan","Books",2341,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
675,"Bird's Nest Soup","Beauty & Personal",12269,"Make me a sandwich."
676,"Pastrami","Beauty & Personal",19307,"He looked inquisitively at his keyboard and wrote another sentence."
677,"Polenta","Electronics",3258,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
678,"Buffalo wing","Health & Hygine",8655,"Its main implementation is the Glasgow Haskell Compiler."
679,"Pulled pork","Beauty & Personal",7193,"Tuples are containers for a fixed number of Erlang data types."
680,"Hokkien fried rice","Books",10637,"Ports are used to communicate with the external world."
681,"Soul food","Sports & Outdoor",8781,"In 1989 the building was heavily damaged by fire, but it has since been restored."
682,"Sausage gravy","Music Instruments",15878,"Haskell features a type system with type inference and lazy evaluation."
683,"Corn dog","Beauty & Personal",3347,"The arguments can be primitive data types or compound data types."
684,"Chicago Deep Dish Pizza","Office Supply",7766,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
685,"Tuna casserole","Beauty & Personal",16765,"Do you come here often?"
686,"Patty","Video Games",18897,"In 1989 the building was heavily damaged by fire, but it has since been restored."
687,"Carne pizzaiola","Sports & Outdoor",11282,"Erlang is a general-purpose, concurrent, functional programming language."
688,"Fried fish","Music Instruments",1968,"Tuples are containers for a fixed number of Erlang data types."
689,"Chicken Alfredo","Fashion",18969,"Erlang is known for its designs that are well suited for systems."
690,"Hawaiian haystack","Sports & Outdoor",15149,"Do you come here often?"
691,"Chili dog","Health & Hygine",17310,"He looked inquisitively at his keyboard and wrote another sentence."
692,"Popover","Fashion",11944,"Erlang is a general-purpose, concurrent, functional programming language."
693,"Thousand Island dressing","Health & Hygine",540,"Where are my pants?"
694,"Corned beef","Beauty & Personal",526,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
695,"Meatcake","Sports & Outdoor",19335,"Do you come here often?"
696,"Chocolate cheesecake","Home & Garden",18940,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
697,"Chocolate Chip Cookie","Office Supply",3248,"Erlang is known for its designs that are well suited for systems."
698,"Grilled Snake","Sports & Outdoor",10665,"Ports are used to communicate with the external world."
699,"Charleston red rice","Video Games",3073,"I don't even care."
700,"Polenta","Electronics",13872,"Ports are created with the built-in function open_port."
701,"Pickled cucumber","Books",1504,"Atoms are used within a program to denote distinguished values."
702,"Fish Tacos","Sports & Outdoor",7039,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
703,"Scrapple","Books",2155,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
704,"Cheesecake","Sports & Outdoor",19618,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
705,"Rabbit pie","Music Instruments",13931,"In 1989 the building was heavily damaged by fire, but it has since been restored."
706,"French Dip","Health & Hygine",9893,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
707,"Elote","Home & Garden",6076,"Haskell features a type system with type inference and lazy evaluation."
708,"Chicken Alfredo","Beauty & Personal",10904,"Ports are used to communicate with the external world."
709,"Chocolate Chip Cookie","Books",14020,"I don't even care."
710,"Apple butter","Music Instruments",18724,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
711,"Maine Lobster","Video Games",16418,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
712,"Queso Fresco","Health & Hygine",12054,"Any element of a tuple can be accessed in constant time."
713,"Reuben","Beauty & Personal",6601,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
714,"Burnt ends","Health & Hygine",7975,"Any element of a tuple can be accessed in constant time."
715,"Liver and onions","Health & Hygine",14624,"Haskell features a type system with type inference and lazy evaluation."
716,"Bangers and mash","Books",2614,"Ports are created with the built-in function open_port."
717,"Cordon bleu","Home & Garden",16633,"Atoms are used within a program to denote distinguished values."
718,"Pepperoni","Beauty & Personal",5815,"In 1989 the building was heavily damaged by fire, but it has since been restored."
719,"Apple butter","Health & Hygine",13755,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
720,"Chili dog","Video Games",6232,"Where are my pants?"
721,"Poutine","Health & Hygine",11675,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
722,"Spaghetti Bolognese","Books",4653,"Do you have any idea why this is not working?"
723,"Chimichanga","Health & Hygine",18214,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s."
724,"Apple sauce","Sports & Outdoor",18385,"I don't even care."
725,"Chips and dip","Electronics",12118,"Any element of a tuple can be accessed in constant time."
726,"Fried fish","Office Supply",12883,"Make me a sandwich."
727,"Bear claw","Office Supply",6123,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
728,"Stuffed ham","Beauty & Personal",19442,"He looked inquisitively at his keyboard and wrote another sentence."
729,"Cheesy Garlic Bread","Electronics",9141,"Tuples are containers for a fixed number of Erlang data types."
730,"Macaroni and Cheese","Books",7230,"Erlang is known for its designs that are well suited for systems."
731,"Baklava","Health & Hygine",13050,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
732,"Huevos Rancheros","Music Instruments",1166,"The arguments can be primitive data types or compound data types."
733,"Shucked Oysters","Fashion",15802,"Any element of a tuple can be accessed in constant time."
734,"Tagine","Health & Hygine",4158,"Erlang is a general-purpose, concurrent, functional programming language."
735,"Chicken and waffles","Health & Hygine",13374,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
736,"Meatloaf","Music Instruments",2947,"Type classes first appeared in the Haskell programming language."
737,"BBQ Ribs","Beauty & Personal",3546,"I don't even care."
738,"Baba Ghanoush","Office Supply",5294,"It is also a garbage-collected runtime system."
739,"Mozzarella Sticks","Sports & Outdoor",7039,"Ports are created with the built-in function open_port."
740,"Sweet Potato Fries","Video Games",5027,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
741,"Piroshky","Video Games",10227,"Where are my pants?"
742,"Turkish Delight","Video Games",19740,"Ports are used to communicate with the external world."
743,"BBQ Ribs","Music Instruments",18646,"Haskell features a type system with type inference and lazy evaluation."
744,"Chicken Liver Pate","Beauty & Personal",1473,"Erlang is a general-purpose, concurrent, functional programming language."
745,"White chocolate cookie","Sports & Outdoor",18289,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
746,"Gyoza","Fashion",18620,"The arguments can be primitive data types or compound data types."
747,"Tin Roof Ice Cream","Video Games",2298,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn."
748,"Biscuit","Health & Hygine",18387,"Its main implementation is the Glasgow Haskell Compiler."
749,"Home fries","Music Instruments",10778,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."""
750,"Macaroni salad","Books",17908,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
751,"Calf's liver and bacon","Video Games",14109,"She spent her earliest years reading classic literature, and writing poetry."
752,"Grits","Beauty & Personal",1410,"Erlang is known for its designs that are well suited for systems."
753,"Hog fry","Sports & Outdoor",15560,"Any element of a tuple can be accessed in constant time."
754,"Onion Rings","Music Instruments",9947,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
755,"Gyoza","Video Games",16938,"She spent her earliest years reading classic literature, and writing poetry."
756,"Buffalo burger","Music Instruments",10969,"Do you come here often?"
757,"French Dip","Office Supply",18514,"Haskell features a type system with type inference and lazy evaluation."
758,"Cheese balls","Sports & Outdoor",5798,"Any element of a tuple can be accessed in constant time."
759,"Popover","Office Supply",11973,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
760,"Senate bean soup","Beauty & Personal",1974,"It is also a garbage-collected runtime system."
761,"Fajitas","Beauty & Personal",1122,"Haskell features a type system with type inference and lazy evaluation."
762,"Blue-plate special","Sports & Outdoor",2387,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
763,"Boulliabaise","Sports & Outdoor",6678,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase."
764,"Moules Frites","Beauty & Personal",8713,"Haskell features a type system with type inference and lazy evaluation."
765,"Calas","Health & Hygine",3526,"In 1989 the building was heavily damaged by fire, but it has since been restored."
766,"Brisket","Fashion",17118,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
767,"Venison","Office Supply",6981,"He looked inquisitively at his keyboard and wrote another sentence."
768,"Blue-plate special","Health & Hygine",12402,"She spent her earliest years reading classic literature, and writing poetry."
769,"Calas","Health & Hygine",14112,"Make me a sandwich."
770,"Poppyseed muffin","Beauty & Personal",17124,"Erlang is a general-purpose, concurrent, functional programming language."
771,"Fattoush Salad","Fashion",9168,"Ports are created with the built-in function open_port."
772,"Chicken Divan","Books",12684,"Haskell features a type system with type inference and lazy evaluation."
773,"Cheese balls","Sports & Outdoor",14242,"Any element of a tuple can be accessed in constant time."
774,"Churrasco","Books",10217,"Do you come here often?"
775,"Burnt ends","Health & Hygine",14505,"Its main implementation is the Glasgow Haskell Compiler."
776,"Mozzarella Sticks","Sports & Outdoor",7703,"Do you come here often?"
777,"Mashed pumpkin","Books",3262,"She spent her earliest years reading classic literature, and writing poetry."
778,"Pistachio Ice Cream","Beauty & Personal",6720,"Do you come here often?"
779,"Pork and beans","Sports & Outdoor",10191,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
780,"Matzo Ball Soup","Video Games",16130,"It is also a garbage-collected runtime system."
781,"Polenta","Video Games",17644,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing."
782,"Lobster roll","Video Games",18167,"Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom."
783,"Pizza strips","Video Games",17977,"The arguments can be primitive data types or compound data types."
784,"Po'Boy","Video Games",13707,"She spent her earliest years reading classic literature, and writing poetry."
785,"Abalone","Health & Hygine",15548,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets."
786,"Corn flakes","Sports & Outdoor",12505,"Erlang is known for its designs that are well suited for systems."
787,"Clam cake","Books",5131,"Make me a sandwich."
788,"Corned beef","Sports & Outdoor",10047,"It is also a garbage-collected runtime system."
789,"Potato skins","Office Supply",11009,"Tuples are containers for a fixed number of Erlang data types."
790,"Lobster roll","Sports & Outdoor",522,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing."
791,"Turducken","Sports & Outdoor",4944,"She spent her earliest years reading classic literature, and writing poetry."
